date,total_views,unique_visitors,last_updated
2025-09-24,415,87,2025-10-08 07:40:47 UTC
2025-09-25,793,128,2025-10-08 07:40:47 UTC
2025-09-26,552,142,2025-10-08 07:40:47 UTC
2025-09-27,243,64,2025-10-08 07:40:47 UTC
2025-09-28,323,70,2025-10-08 07:40:47 UTC
2025-09-29,789,121,2025-10-08 07:40:47 UTC
2025-09-30,824,133,2025-10-08 07:40:47 UTC
2025-10-01,524,98,2025-10-08 07:40:47 UTC
2025-10-02,396,124,2025-10-08 07:40:47 UTC
2025-10-03,320,106,2025-10-08 07:40:47 UTC
2025-10-04,210,74,2025-10-08 07:40:47 UTC
2025-10-05,204,49,2025-10-08 07:40:47 UTC
2025-10-06,548,222,2025-10-08 07:40:47 UTC
2025-10-07,948,125,2025-10-08 07:40:47 UTC
2025-10-08,184,38,2025-10-08 07:40:47 UTC
